"","DOWNLOAD.DATE","IDENTIFIER","LATEST.ADMISSION.DATE","RACE","GENDER","AGE","BOND.AMOUNT","OFFENSE","FACILITY","DETAINER","max_bail","min_bail","earliest","earliest2","latest","duration1","duration2","for_filter","prior","current","quantile"
"3576",2016-07-14,"ZZSEWBCH","07/13/2016","BLACK","M",29,10000,"BURGLARY, THIRD DEGREE                DF","BRIDGEPORT CC","NONE",10000,10000,2016-07-14,2016-07-13,2016-07-14,0,1,"ZZSEWBCHBURGLARY, THIRD DEGREE                DF","in after July 1","out",1
"3577",2016-07-14,"ZZSEWBCL","07/13/2016","BLACK","M",20,125050,"CARRY PIST/RVOLV W/O PERMIT","BRIDGEPORT CC","NONE",125050,101000,2016-07-14,2016-07-13,2016-10-24,102,103,"ZZSEWBCLCARRY PIST/RVOLV W/O PERMIT","in after July 1","out",4
"3578",2016-07-14,"ZZSEWBCR","07/13/2016","WHITE","M",21,250,"FOLLOWING TOO CLOSELY","HARTFORD CC","NONE",250,250,2016-07-14,2016-07-13,2016-07-14,0,1,"ZZSEWBCRFOLLOWING TOO CLOSELY","in after July 1","out",1
"3579",2016-07-14,"ZZSEWBCS","07/13/2016","BLACK","M",22,20000,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","BRIDGEPORT CC","NONE",20000,20000,2016-07-14,2016-07-13,2016-07-27,13,14,"ZZSEWBCSSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in after July 1","out",2
"3580",2016-07-14,"ZZSEWBCZ","07/13/2016","WHITE","F",19,110000,"ARSON, SECOND DEGREE                  BF","YORK CI","NONE",110000,100000,2016-07-14,2016-07-13,NA,NA,NA,"ZZSEWBCZARSON, SECOND DEGREE                  BF","in after July 1","still in",4
"3581",2016-07-14,"ZZSEWBLB","07/13/2016","WHITE","M",47,10000,"LARCENY, FIRST DEGREE                 BF","HARTFORD CC","NONE",10000,10000,2016-07-14,2016-07-13,2016-11-08,117,118,"ZZSEWBLBLARCENY, FIRST DEGREE                 BF","in after July 1","out",1
"3582",2016-07-14,"ZZSEWBLC","07/13/2016","BLACK","M",20,50000,"CRIM VIOL OF PROTECTIVE ORDER         DF","NEW HAVEN CC","NONE",75000,30000,2016-07-14,2016-07-13,2016-12-16,155,156,"ZZSEWBLCCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",3
"3583",2016-07-14,"ZZSEWBLL","07/13/2016","HISPANIC","M",28,50000,"HOME INVASION                         AF","CORRIGAN CI","NONE",50000,50000,2016-07-14,2016-07-13,2016-07-20,6,7,"ZZSEWBLLHOME INVASION                         AF","in after July 1","out",3
"3584",2016-07-14,"ZZSEWCSL","07/05/2016","BLACK","M",20,350000,"USE OF MACHINE GUN IN A CRIME  DELETED F","MANSON YI","NONE",360000,350000,2016-07-14,2016-07-05,NA,NA,NA,"ZZSEWCSLUSE OF MACHINE GUN IN A CRIME  DELETED F","in after July 1","still in",4
"3585",2016-07-14,"ZZSEWHJH","06/15/2016","BLACK","M",27,75000,"ASSAULT, THIRD DEGREE                 AM","GARNER","NONE",75000,75000,2016-07-14,2016-06-15,2016-10-05,83,112,"ZZSEWHJHASSAULT, THIRD DEGREE                 AM","in after July 1","out",3
"3586",2016-07-14,"ZZSEWSBW","06/21/2016","WHITE","M",15,95000,"YOUTHFUL OFFENDER","MANSON YI","NONE",95000,95000,2016-07-14,2016-06-21,2016-11-09,118,141,"ZZSEWSBWYOUTHFUL OFFENDER","in after July 1","out",3
"3587",2016-07-14,"ZZSEWZRH","05/23/2016","BLACK","M",19,410050,"USE OF MACHINE GUN IN A CRIME  DELETED F","MANSON YI","NONE",660050,410050,2016-07-14,2016-05-23,NA,NA,NA,"ZZSEWZRHUSE OF MACHINE GUN IN A CRIME  DELETED F","in after July 1","still in",4
"3588",2016-07-14,"ZZSZJWHB","07/13/2016","HISPANIC","M",17,25000,"YOUTHFUL OFFENDER","MANSON YI","NONE",25000,25000,2016-07-14,2016-07-13,2016-11-01,110,111,"ZZSZJWHBYOUTHFUL OFFENDER","in after July 1","out",2
"3589",2016-07-14,"ZZSZLCSE","07/13/2016","WHITE","F",32,15000,"CRIM VIOL OF PROTECTIVE ORDER         DF","YORK CI","NONE",15000,15000,2016-07-14,2016-07-13,2016-08-19,36,37,"ZZSZLCSECRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",2
"3590",2016-07-14,"ZZZBCRZS","07/13/2016","BLACK","M",55,50000,"REG PERSON WHO COMM SEX VIOL OFF      DF","HARTFORD CC","NONE",70000,20000,2016-07-14,2016-07-13,2016-09-19,67,68,"ZZZBCRZSREG PERSON WHO COMM SEX VIOL OFF      DF","in after July 1","out",3
"3591",2016-07-14,"ZZZBECHL","07/13/2016","BLACK","M",58,10500,"ASSAULT, THIRD DEGREE                 AM","NEW HAVEN CC","NONE",10500,10500,2016-07-14,2016-07-13,2016-08-19,36,37,"ZZZBECHLASSAULT, THIRD DEGREE                 AM","in after July 1","out",2
"3592",2016-07-15,"ZZEBBHWJ","07/14/2016","BLACK","M",47,5000,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",6000,5000,2016-07-15,2016-07-14,2016-12-07,145,146,"ZZEBBHWJCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",1
"3593",2016-07-15,"ZZEBJJLH","07/14/2016","BLACK","M",43,50000,"CRIMINAL MISCHIEF, FIRST DEGREE       DF","NEW HAVEN CC","NONE",50000,50000,2016-07-15,2016-07-14,2016-11-21,129,130,"ZZEBJJLHCRIMINAL MISCHIEF, FIRST DEGREE       DF","in after July 1","out",3
"3594",2016-07-15,"ZZEBREHE","07/14/2016","BLACK","M",44,130000,"POSSESSION OF NARCOTICS","HARTFORD CC","NONE",135400,130000,2016-07-15,2016-07-14,NA,NA,NA,"ZZEBREHEPOSSESSION OF NARCOTICS","in after July 1","still in",4
"3595",2016-07-15,"ZZEHCJHH","07/14/2016","BLACK","M",56,50000,"INJURY OR RISK OF INJURY TO MINOR      F","BRIDGEPORT CC","NONE",75000,50000,2016-07-15,2016-07-14,2016-10-17,94,95,"ZZEHCJHHINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","out",3
"3596",2016-07-15,"ZZEHCSRZ","07/14/2016","BLACK","M",48,30000,"SALE OF HEROIN, COC BY NON-DEPENDENT","HARTFORD CC","NONE",80000,30000,2016-07-15,2016-07-14,2016-12-13,151,152,"ZZEHCSRZSALE OF HEROIN, COC BY NON-DEPENDENT","in after July 1","out",2
"3597",2016-07-15,"ZZHBBCCR","07/14/2016","HISPANIC","M",68,250000,"SEXUAL ASSAULT, FIRST DEGREE           F","BRIDGEPORT CC","NONE",250000,250000,2016-07-15,2016-07-14,NA,NA,NA,"ZZHBBCCRSEXUAL ASSAULT, FIRST DEGREE           F","in after July 1","still in",4
"3598",2016-07-15,"ZZHBBLHJ","07/14/2016","WHITE","M",24,7500,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","NEW HAVEN CC","NONE",7500,7500,2016-07-15,2016-07-14,2016-07-21,6,7,"ZZHBBLHJSALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","in after July 1","out",1
"3599",2016-07-15,"ZZHBBZEW","07/14/2016","HISPANIC","M",22,50000,"CRIM VIOL OF PROTECTIVE ORDER         DF","HARTFORD CC","NONE",80550,50000,2016-07-15,2016-07-14,2016-10-21,98,99,"ZZHBBZEWCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",3
"3600",2016-07-15,"ZZHBHCWL","07/14/2016","WHITE","M",22,125000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",125000,125000,2016-07-15,2016-07-14,2016-07-15,0,1,"ZZHBHCWLVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",4
"3601",2016-07-15,"ZZHCEZZC","07/14/2016","WHITE","F",54,40000,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",40000,40000,2016-07-15,2016-07-14,2016-07-21,6,7,"ZZHCEZZCVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",3
"3602",2016-07-15,"ZZHECZSS","07/14/2016","BLACK","F",31,20000,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",20000,20000,2016-07-15,2016-07-14,2016-08-19,35,36,"ZZHECZSSVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"3603",2016-07-15,"ZZHEJECH","07/14/2016","WHITE","F",45,6000,"ASSAULT ON POLICE OR FIRE OFFICER     CF","YORK CI","NONE",6000,6000,2016-07-15,2016-07-14,2016-08-01,17,18,"ZZHEJECHASSAULT ON POLICE OR FIRE OFFICER     CF","in after July 1","out",1
"3604",2016-07-15,"ZZHEREES","07/14/2016","HISPANIC","M",30,95000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",95100,50100,2016-07-15,2016-07-14,2016-10-19,96,97,"ZZHEREESVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",3
"3605",2016-07-15,"ZZHESEWZ","07/14/2016","HISPANIC","M",39,1000,"BREACH OF PEACE                       BM","CORRIGAN CI","NONE",1000,1000,2016-07-15,2016-07-14,2016-07-15,0,1,"ZZHESEWZBREACH OF PEACE                       BM","in after July 1","out",1
"3606",2016-07-15,"ZZHESWJS","07/14/2016","BLACK","M",31,12500,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",37500,7500,2016-07-15,2016-07-14,NA,NA,NA,"ZZHESWJSVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",2
"3607",2016-07-15,"ZZHEZEEH","07/14/2016","HISPANIC","F",32,90100,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",90100,90100,2016-07-15,2016-07-14,2016-07-18,3,4,"ZZHEZEEHVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",3
"3608",2016-07-15,"ZZHHEJRZ","07/14/2016","BLACK","M",31,3000,"SALE OF CONTROLLED SUBSTANCE           F","NEW HAVEN CC","NONE",3000,3000,2016-07-15,2016-07-14,2016-07-15,0,1,"ZZHHEJRZSALE OF CONTROLLED SUBSTANCE           F","in after July 1","out",1
"3609",2016-07-15,"ZZHHLWJH","07/14/2016","WHITE","M",36,1000,"BURGLARY, THIRD DEGREE                DF","BRIDGEPORT CC","NONE",1000,1000,2016-07-15,2016-07-14,2016-07-18,3,4,"ZZHHLWJHBURGLARY, THIRD DEGREE                DF","in after July 1","out",1
"3610",2016-07-15,"ZZHHZWLS","07/14/2016","BLACK","M",35,12500,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","NEW HAVEN CC","NONE",12500,12500,2016-07-15,2016-07-14,2016-07-28,13,14,"ZZHHZWLSSALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","in after July 1","out",2
"3611",2016-07-15,"ZZHJEJZZ","07/13/2016","WHITE","M",33,15000,"BURGLARY, THIRD DEGREE                DF","BRIDGEPORT CC","NONE",15000,15000,2016-07-15,2016-07-13,2016-09-19,66,68,"ZZHJEJZZBURGLARY, THIRD DEGREE                DF","in after July 1","out",2
"3612",2016-07-15,"ZZHJSCHW","07/14/2016","BLACK","M",27,30000,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",30100,30000,2016-07-15,2016-07-14,2016-07-29,14,15,"ZZHJSCHWCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",2
"3613",2016-07-15,"ZZHLCCLZ","07/14/2016","WHITE","M",24,13000,"BURGLARY, THIRD DEGREE                DF","CORRIGAN CI","NONE",35500,13000,2016-07-15,2016-07-14,2017-01-05,174,175,"ZZHLCCLZBURGLARY, THIRD DEGREE                DF","in after July 1","out",2
"3614",2016-07-15,"ZZHLWRLW","07/14/2016","WHITE","M",24,5000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",5000,5000,2016-07-15,2016-07-14,2016-07-15,0,1,"ZZHLWRLWVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"3615",2016-07-15,"ZZHSBRWW","07/14/2016","WHITE","M",45,30000,"OPERATE UNDER INFLU OF LIQ OR DRUGS","CORRIGAN CI","NONE",45000,30000,2016-07-15,2016-07-14,NA,NA,NA,"ZZHSBRWWOPERATE UNDER INFLU OF LIQ OR DRUGS","in after July 1","still in",2
"3616",2016-07-15,"ZZHSJWJC","07/14/2016","HISPANIC","M",28,20050,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",20050,20050,2016-07-15,2016-07-14,2016-08-08,24,25,"ZZHSJWJCVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"3617",2016-07-15,"ZZHWWLZS","07/14/2016","BLACK","M",25,1000,"CRIMINAL MISCHIEF, SECOND DEGREE      AM","BRIDGEPORT CC","NONE",1000,1000,2016-07-15,2016-07-14,2016-07-15,0,1,"ZZHWWLZSCRIMINAL MISCHIEF, SECOND DEGREE      AM","in after July 1","out",1
"3618",2016-07-15,"ZZHWZWLW","07/14/2016","WHITE","M",28,10000,"POSSESSION OF NARCOTICS","HARTFORD CC","NONE",10000,10000,2016-07-15,2016-07-14,2016-07-19,4,5,"ZZHWZWLWPOSSESSION OF NARCOTICS","in after July 1","out",1
"3619",2016-07-15,"ZZHZBSZB","07/14/2016","WHITE","F",33,20000,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",20000,20000,2016-07-15,2016-07-14,2016-07-26,11,12,"ZZHZBSZBVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"3620",2016-07-15,"ZZHZCEHE","07/14/2016","BLACK","M",36,125000,"CRIMINAL ATTEMPT","CORRIGAN CI","NONE",125000,125000,2016-07-15,2016-07-14,2016-10-13,90,91,"ZZHZCEHECRIMINAL ATTEMPT","in after July 1","out",4
"3621",2016-07-15,"ZZRCHJHJ","07/14/2016","WHITE","M",43,25000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",25000,25000,2016-07-15,2016-07-14,2016-10-28,105,106,"ZZRCHJHJVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"3622",2016-07-15,"ZZRHLBWH","07/14/2016","HISPANIC","M",39,16000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",16500,16000,2016-07-15,2016-07-14,2016-08-19,35,36,"ZZRHLBWHVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"3623",2016-07-15,"ZZRHLSJW","07/14/2016","WHITE","F",47,60000,"ASSAULT ON POLICE OR FIRE OFFICER     CF","YORK CI","NONE",65050,60000,2016-07-15,2016-07-14,NA,NA,NA,"ZZRHLSJWASSAULT ON POLICE OR FIRE OFFICER     CF","in after July 1","still in",3
"3624",2016-07-15,"ZZRHSSSB","07/14/2016","BLACK","M",40,125000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",125000,125000,2016-07-15,2016-07-14,2016-08-04,20,21,"ZZRHSSSBVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",4
"3625",2016-07-15,"ZZRJEBLZ","07/14/2016","WHITE","F",31,15000,"POSSESSION OF NARCOTICS","YORK CI","NONE",15000,15000,2016-07-15,2016-07-14,2016-07-29,14,15,"ZZRJEBLZPOSSESSION OF NARCOTICS","in after July 1","out",2
"3626",2016-07-15,"ZZRJJWSH","07/14/2016","BLACK","M",30,100000,"ASSAULT ON POLICE OR FIRE OFFICER     CF","HARTFORD CC","NONE",115000,100000,2016-07-15,2016-07-14,2016-09-16,63,64,"ZZRJJWSHASSAULT ON POLICE OR FIRE OFFICER     CF","in after July 1","out",3
"3627",2016-07-15,"ZZRJZZCW","07/14/2016","WHITE","M",31,2500,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",2500,2500,2016-07-15,2016-07-14,2016-07-18,3,4,"ZZRJZZCWVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"3628",2016-07-15,"ZZRLCHBZ","07/14/2016","HISPANIC","M",34,100000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",100000,100000,2016-07-15,2016-07-14,2016-10-14,91,92,"ZZRLCHBZVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",3
"3629",2016-07-15,"ZZRRZJEL","07/14/2016","BLACK","M",52,50000,"CRIM VIOL OF PROTECTIVE ORDER         DF","HARTFORD CC","NONE",50000,50000,2016-07-15,2016-07-14,2016-08-12,28,29,"ZZRRZJELCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",3
"3630",2016-07-15,"ZZRSLCZB","07/14/2016","WHITE","M",37,25600,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",35600,25600,2016-07-15,2016-07-14,2016-09-19,66,67,"ZZRSLCZBVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"3631",2016-07-15,"ZZRWBHJC","07/14/2016","BLACK","M",36,2500,"LARCENY, FIFTH DEGREE                 BM","BRIDGEPORT CC","NONE",7500,2500,2016-07-15,2016-07-14,2016-07-18,3,4,"ZZRWBHJCLARCENY, FIFTH DEGREE                 BM","in after July 1","out",1
"3632",2016-07-15,"ZZRWCSEJ","07/14/2016","HISPANIC","M",35,1000,"INTERFERING WITH AN OFFICER           AM","HARTFORD CC","NONE",1000,1000,2016-07-15,2016-07-14,2016-07-19,4,5,"ZZRWCSEJINTERFERING WITH AN OFFICER           AM","in after July 1","out",1
"3633",2016-07-15,"ZZRWHZZW","07/14/2016","WHITE","F",49,40000,"ASSAULT, THIRD DEGREE                 AM","YORK CI","NONE",40150,40000,2016-07-15,2016-07-14,NA,NA,NA,"ZZRWHZZWASSAULT, THIRD DEGREE                 AM","in after July 1","still in",3
"3634",2016-07-15,"ZZRWJZHB","07/14/2016","WHITE","M",37,100000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",100000,75000,2016-07-15,2016-07-14,NA,NA,NA,"ZZRWJZHBVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",3
"3635",2016-07-15,"ZZRZZSSJ","07/14/2016","WHITE","M",46,150000,"ROBBERY, SECOND DEGREE                CF","BRIDGEPORT CC","NONE",350000,150000,2016-07-15,2016-07-14,NA,NA,NA,"ZZRZZSSJROBBERY, SECOND DEGREE                CF","in after July 1","still in",4
"3636",2016-07-15,"ZZSEHHSW","07/13/2016","HISPANIC","M",24,30000,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",30000,30000,2016-07-15,2016-07-13,2016-09-12,59,61,"ZZSEHHSWCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",2
"3637",2016-07-15,"ZZSERELL","07/14/2016","WHITE","M",30,30000,"LARCENY, SECOND DEGREE                CF","BRIDGEPORT CC","NONE",60000,30000,2016-07-15,2016-07-14,2016-10-07,84,85,"ZZSERELLLARCENY, SECOND DEGREE                CF","in after July 1","out",2
"3638",2016-07-15,"ZZSERLHR","07/14/2016","WHITE","F",38,31000,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",31000,1000,2016-07-15,2016-07-14,2016-08-08,24,25,"ZZSERLHRVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"3639",2016-07-15,"ZZSESRJB","05/25/2016","BLACK","M",18,175000,"YOUTHFUL OFFENDER","MANSON YI","NONE",175000,175000,2016-07-15,2016-05-25,2016-12-01,139,190,"ZZSESRJBYOUTHFUL OFFENDER","in after July 1","out",4
"3640",2016-07-15,"ZZSEWBBB","07/14/2016","BLACK","M",48,30000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",100000,30000,2016-07-15,2016-07-14,2017-01-03,172,173,"ZZSEWBBBVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"3641",2016-07-15,"ZZSEWBBC","07/14/2016","BLACK","M",23,200000,"CONSPIRACY","CORRIGAN CI","NONE",200000,200000,2016-07-15,2016-07-14,NA,NA,NA,"ZZSEWBBCCONSPIRACY","in after July 1","still in",4
"3642",2016-07-15,"ZZSEWBBJ","07/14/2016","WHITE","M",27,7500,"CRIMINAL TRESPASS, THIRD DEGREE       CM","BRIDGEPORT CC","NONE",7500,7500,2016-07-15,2016-07-14,2016-11-16,124,125,"ZZSEWBBJCRIMINAL TRESPASS, THIRD DEGREE       CM","in after July 1","out",1
"3643",2016-07-15,"ZZSEWBBS","07/14/2016","HISPANIC","M",31,25000,"POSSESSION OF NARCOTICS","CORRIGAN CI","NONE",25000,25000,2016-07-15,2016-07-14,2016-07-20,5,6,"ZZSEWBBSPOSSESSION OF NARCOTICS","in after July 1","out",2
"3644",2016-07-15,"ZZSEWBBW","07/14/2016","WHITE","F",51,50000,"PROMOTING PROSTITUTION, SECOND DEGREE CF","YORK CI","NONE",50000,50000,2016-07-15,2016-07-14,NA,NA,NA,"ZZSEWBBWPROMOTING PROSTITUTION, SECOND DEGREE CF","in after July 1","still in",3
"3645",2016-07-15,"ZZSEWBJB","07/14/2016","HISPANIC","M",48,250000,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","BRIDGEPORT CC","NONE",250000,150000,2016-07-15,2016-07-14,2016-07-28,13,14,"ZZSEWBJBSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in after July 1","out",4
"3646",2016-07-15,"ZZSEWBJC","07/14/2016","BLACK","M",24,10000,"FORGERY, FIRST DEGREE                 CF","BRIDGEPORT CC","NONE",10000,10000,2016-07-15,2016-07-14,2016-07-20,5,6,"ZZSEWBJCFORGERY, FIRST DEGREE                 CF","in after July 1","out",1
"3647",2016-07-15,"ZZSEWBJE","07/14/2016","BLACK","M",47,5000,"THREATENING                           AM","HARTFORD CC","NONE",5000,5000,2016-07-15,2016-07-14,2016-07-15,0,1,"ZZSEWBJETHREATENING                           AM","in after July 1","out",1
"3648",2016-07-15,"ZZSEWBJH","07/14/2016","BLACK","M",30,25500,"ARREST WARRANT","HARTFORD CC","NONE",25500,25500,2016-07-15,2016-07-14,2016-08-08,24,25,"ZZSEWBJHARREST WARRANT","in after July 1","out",2
"3649",2016-07-15,"ZZSEWBJJ","07/14/2016","HISPANIC","F",41,9000,"INJURY OR RISK OF INJURY TO MINOR      F","YORK CI","NONE",9000,9000,2016-07-15,2016-07-14,2016-07-15,0,1,"ZZSEWBJJINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","out",1
"3650",2016-07-15,"ZZSEWBJL","07/14/2016","BLACK","M",34,1000,"ASSAULT, THIRD DEGREE                 AM","BRIDGEPORT CC","NONE",1000,1000,2016-07-15,2016-07-14,2016-07-15,0,1,"ZZSEWBJLASSAULT, THIRD DEGREE                 AM","in after July 1","out",1
"3651",2016-07-15,"ZZSEWBJR","07/14/2016","HISPANIC","M",18,125000,"STEALING A FIREARM                    DF","HARTFORD CC","NONE",135450,125000,2016-07-15,2016-07-14,2016-12-14,152,153,"ZZSEWBJRSTEALING A FIREARM                    DF","in after July 1","out",4
"3652",2016-07-15,"ZZSEWBJW","07/14/2016","BLACK","M",22,500,"FAILURE TO APPEAR, SECOND DEGREE      AM","HARTFORD CC","NONE",500,500,2016-07-15,2016-07-14,2016-07-15,0,1,"ZZSEWBJWFAILURE TO APPEAR, SECOND DEGREE      AM","in after July 1","out",1
"3653",2016-07-15,"ZZSEWBJZ","07/14/2016","BLACK","M",33,400000,"MANSLAUGHTER, FIRST DEGREE            BF","BRIDGEPORT CC","NONE",400000,400000,2016-07-15,2016-07-14,NA,NA,NA,"ZZSEWBJZMANSLAUGHTER, FIRST DEGREE            BF","in after July 1","still in",4
"3654",2016-07-15,"ZZSEWZRE","05/23/2016","WHITE","M",20,22050,"ALTERING OR REMOVING IDENT NUMBER      F","MANSON YI","NONE",22050,50,2016-07-15,2016-05-23,2016-10-07,84,137,"ZZSEWZREALTERING OR REMOVING IDENT NUMBER      F","in after July 1","out",2
"3655",2016-07-15,"ZZSEZLCZ","07/14/2016","WHITE","F",24,25000,"SEXUAL ASSAULT, SECOND DEGREE          F","YORK CI","NONE",25000,25000,2016-07-15,2016-07-14,NA,NA,NA,"ZZSEZLCZSEXUAL ASSAULT, SECOND DEGREE          F","in after July 1","still in",2
"3656",2016-07-15,"ZZSZBCWL","07/14/2016","HISPANIC","M",20,500,"LARCENY, SIXTH DEGREE                 CM","HARTFORD CC","NONE",3500,500,2016-07-15,2016-07-14,2016-08-08,24,25,"ZZSZBCWLLARCENY, SIXTH DEGREE                 CM","in after July 1","out",1
"3657",2016-07-15,"ZZSZCZHS","07/14/2016","WHITE","M",26,75000,"ARREST WITHOUT WARRANT","HARTFORD CC","FEDERAL",75000,75000,2016-07-15,2016-07-14,2016-07-19,4,5,"ZZSZCZHSARREST WITHOUT WARRANT","in after July 1","out",3
"3658",2016-07-15,"ZZSZEHRR","07/14/2016","BLACK","M",25,10000,"IDENTITY THEFT 3RD DEGREE             DF","BRIDGEPORT CC","NONE",225000,10000,2016-07-15,2016-07-14,NA,NA,NA,"ZZSZEHRRIDENTITY THEFT 3RD DEGREE             DF","in after July 1","still in",1
"3659",2016-07-15,"ZZSZJSWC","08/05/2015","WHITE","F",52,10000,"CRIM VIOL OF PROTECTIVE ORDER         DF","YORK CI","NONE",10000,10000,2016-07-15,2015-08-05,2016-08-19,35,380,"ZZSZJSWCCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",1
"3660",2016-07-15,"ZZSZRWJJ","07/14/2016","WHITE","F",33,25000,"FAILURE TO APPEAR, FIRST DEGREE       DF","YORK CI","NONE",25000,25000,2016-07-15,2016-07-14,2016-10-06,83,84,"ZZSZRWJJFAILURE TO APPEAR, FIRST DEGREE       DF","in after July 1","out",2
"3661",2016-07-15,"ZZSZSLBL","07/14/2016","BLACK","F",31,495,"FAILURE TO APPEAR, SECOND DEGREE      AM","YORK CI","NONE",495,495,2016-07-15,2016-07-14,2016-08-05,21,22,"ZZSZSLBLFAILURE TO APPEAR, SECOND DEGREE      AM","in after July 1","out",1
"3662",2016-07-15,"ZZSZSWBH","07/14/2016","BLACK","F",23,2500,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",2500,2500,2016-07-15,2016-07-14,2016-08-01,17,18,"ZZSZSWBHVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"3663",2016-07-15,"ZZSZSWES","07/14/2016","WHITE","M",20,15000,"PROHIB ACTS RE: DRUG PARAPHERNALIA","NEW HAVEN CC","NONE",15000,15000,2016-07-15,2016-07-14,2016-07-18,3,4,"ZZSZSWESPROHIB ACTS RE: DRUG PARAPHERNALIA","in after July 1","out",2
"3664",2016-07-16,"ZZEBHCJR","07/15/2016","BLACK","M",43,80000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",80000,50000,2016-07-16,2016-07-15,NA,NA,NA,"ZZEBHCJRVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",3
"3665",2016-07-16,"ZZECCCRE","07/15/2016","BLACK","M",47,1000,"LARCENY, SIXTH DEGREE                 CM","BRIDGEPORT CC","NONE",1000,1000,2016-07-16,2016-07-15,2016-07-26,10,11,"ZZECCCRELARCENY, SIXTH DEGREE                 CM","in after July 1","out",1
"3666",2016-07-16,"ZZHBELHE","07/15/2016","WHITE","M",46,110001,"VIOLATION OF PROBATION OR COND DISCHG","CORRIGAN CI","NONE",110001,9050,2016-07-16,2016-07-15,2016-09-16,62,63,"ZZHBELHEVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",4
